Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,All Elements in Two Binary Search Trees,0,0.8,https://leetcode.com/problems/all-elements-in-two-binary-search-trees,"Tree, Depth-First Search, Binary Search Tree, Sorting, Binary Tree"
HARD,LFU Cache,0,0.4679999999999999,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Partition to K Equal Sum Subsets,0,0.381,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
EASY,Design HashMap,0,0.659,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
HARD,Subarrays with K Different Integers,0,0.66,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting"
EASY,Implement Queue using Stacks,0,0.6809999999999999,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Number of Enclaves,0,0.7070000000000001,https://leetcode.com/problems/number-of-enclaves,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Maximum Number of Occurrences of a Substring,0,0.535,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
HARD,Bus Routes,0,0.47,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Last Stone Weight II,0,0.5770000000000001,https://leetcode.com/problems/last-stone-weight-ii,"Array, Dynamic Programming"
EASY,Minimum Distance Between BST Nodes,0,0.604,https://leetcode.com/problems/minimum-distance-between-bst-nodes,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Subsets,0,0.81,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Number of Closed Islands,0,0.667,https://leetcode.com/problems/number-of-closed-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Next Permutation,0,0.432,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Kth Smallest Element in a BST,0,0.754,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Shopping Offers,0,0.519,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
HARD,Find Minimum in Rotated Sorted Array II,0,0.441,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii,"Array, Binary Search"
HARD,Largest Rectangle in Histogram,0,0.475,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Find K Closest Elements,0,0.487,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Maximum Difference Score in a Grid,0,0.467,https://leetcode.com/problems/maximum-difference-score-in-a-grid,"Array, Dynamic Programming, Matrix"
MEDIUM,Find Minimum in Rotated Sorted Array,0,0.527,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Car Pooling,0,0.561,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
MEDIUM,Minimum Operations to Reduce X to Zero,0,0.401,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,"Array, Hash Table, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Delete Node in a BST,0,0.531,https://leetcode.com/problems/delete-node-in-a-bst,"Tree, Binary Search Tree, Binary Tree"
EASY,Sqrt(x),0,0.4039999999999999,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Unique Paths II,0,0.432,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Subtree of Another Tree,0,0.501,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
MEDIUM,Find the Winner of the Circular Game,0,0.821,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
HARD,Maximum Students Taking Exam,0,0.522,https://leetcode.com/problems/maximum-students-taking-exam,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask"
EASY,Implement Stack using Queues,0,0.675,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Design, Queue"
MEDIUM,Length of Longest Fibonacci Subsequence,0,0.5760000000000001,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,"Array, Hash Table, Dynamic Programming"
MEDIUM,Sum of Subarray Minimums,0,0.377,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Find Eventual Safe States,0,0.688,https://leetcode.com/problems/find-eventual-safe-states,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Count Sub Islands,0,0.728,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,0,0.469,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Closest Nodes Queries in a Binary Search Tree,0,0.428,https://leetcode.com/problems/closest-nodes-queries-in-a-binary-search-tree,"Array, Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Sort Array By Parity II,0,0.71,https://leetcode.com/problems/sort-array-by-parity-ii,"Array, Two Pointers, Sorting"
MEDIUM,Keys and Rooms,0,0.747,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
EASY,Kth Largest Element in a Stream,0,0.599,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
HARD,Palindrome Partitioning III,0,0.616,https://leetcode.com/problems/palindrome-partitioning-iii,"String, Dynamic Programming"
HARD,Time Taken to Mark All Nodes,0,0.248,https://leetcode.com/problems/time-taken-to-mark-all-nodes,"Dynamic Programming, Tree, Depth-First Search, Graph"
HARD,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,0,0.6629999999999999,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,"Union Find, Graph, Sorting, Minimum Spanning Tree, Strongly Connected Component"
MEDIUM,Serialize and Deserialize BST,0,0.586,https://leetcode.com/problems/serialize-and-deserialize-bst,Binary Tree
MEDIUM,Permutations,0,0.807,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Search a 2D Matrix,0,0.524,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Frequency of the Most Frequent Element,0,0.441,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Largest Number,0,0.413,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Design Circular Queue,0,0.527,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Median of Two Sorted Arrays,0,0.439,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Largest Color Value in a Directed Graph,0,0.5760000000000001,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,"Hash Table, Dynamic Programming, Graph, Topological Sort, Memoization, Counting"
MEDIUM,Maximum Total Damage With Spell Casting,0,0.278,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
HARD,Parallel Courses III,0,0.6679999999999999,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,Wildcard Matching,0,0.3,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Set Matrix Zeroes,0,0.608,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Rank Teams by Votes,0,0.594,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
HARD,Contains Duplicate III,0,0.237,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
HARD,Profitable Schemes,0,0.48,https://leetcode.com/problems/profitable-schemes,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,0,0.413,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,GCD Sort of an Array,0,0.466,https://leetcode.com/problems/gcd-sort-of-an-array,"Array, Math, Union Find, Sorting, Number Theory"
MEDIUM,Subarray Sum Equals K,0,0.456,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Sum of Distances in Tree,0,0.654,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
MEDIUM,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,0,0.7040000000000001,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,"Array, Sliding Window"
MEDIUM,Validate Binary Search Tree,0,0.344,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Longest Palindromic Subsequence,0,0.642,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming"
MEDIUM,Bitwise AND of Numbers Range,0,0.478,https://leetcode.com/problems/bitwise-and-of-numbers-range,Bit Manipulation
MEDIUM,Construct Binary Tree from Preorder and Postorder Traversal,0,0.78,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Partition Equal Subset Sum,0,0.485,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,K Closest Points to Origin,0,0.68,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Koko Eating Bananas,0,0.491,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Number of Days to Make m Bouquets,0,0.555,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,"Array, Binary Search"
HARD,Reverse Nodes in k-Group,0,0.632,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
HARD,Minimum Insertion Steps to Make a String Palindrome,0,0.726,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,"String, Dynamic Programming"
HARD,Longest Valid Parentheses,0,0.364,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Single Element in a Sorted Array,0,0.5920000000000001,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Number of Longest Increasing Subsequence,0,0.5,https://leetcode.com/problems/number-of-longest-increasing-subsequence,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree"
MEDIUM,Minimum Swaps to Make Strings Equal,0,0.647,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,"Math, String, Greedy"
MEDIUM,Lowest Common Ancestor of a Binary Tree,0,0.669,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Unique Binary Search Trees,0,0.625,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Maximal Square,0,0.488,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Populating Next Right Pointers in Each Node,0,0.655,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Design Add and Search Words Data Structure,0,0.471,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Network Delay Time,0,0.5760000000000001,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
HARD,Find Median from Data Stream,0,0.534,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,House Robber,0,0.524,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,LRU Cache,0,0.4529999999999999,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the City With the Smallest Number of Neighbors at a Threshold Distance,0,0.7040000000000001,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Dynamic Programming, Graph, Shortest Path"
HARD,Create Sorted Array through Instructions,0,0.401,https://leetcode.com/problems/create-sorted-array-through-instructions,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
HARD,Maximum Sum BST in Binary Tree,0,0.445,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Balanced Binary Tree,0,0.555,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Maximum Product Subarray,0,0.35,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Find Longest Awesome Substring,0,0.4529999999999999,https://leetcode.com/problems/find-longest-awesome-substring,"Hash Table, String, Bit Manipulation"
MEDIUM,Custom Sort String,0,0.72,https://leetcode.com/problems/custom-sort-string,"Hash Table, String, Sorting"
MEDIUM,Maximum Gap,0,0.495,https://leetcode.com/problems/maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort"
MEDIUM,Minimum Score Triangulation of Polygon,0,0.603,https://leetcode.com/problems/minimum-score-triangulation-of-polygon,"Array, Dynamic Programming"
MEDIUM,Increment Submatrices by One,0,0.52,https://leetcode.com/problems/increment-submatrices-by-one,"Array, Matrix, Prefix Sum"
MEDIUM,Insert into a Binary Search Tree,0,0.7340000000000001,https://leetcode.com/problems/insert-into-a-binary-search-tree,"Tree, Binary Search Tree, Binary Tree"
MEDIUM,Path Sum III,0,0.461,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
HARD,Candy,0,0.4679999999999999,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Shortest Subarray With OR at Least K II,0,0.502,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,"Array, Bit Manipulation, Sliding Window"
MEDIUM,Number of Subarrays with Bounded Maximum,0,0.54,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,"Array, Two Pointers"
MEDIUM,Gas Station,0,0.465,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,Find Substring With Given Hash Value,0,0.249,https://leetcode.com/problems/find-substring-with-given-hash-value,"String, Sliding Window, Rolling Hash, Hash Function"
EASY,DI String Match,0,0.8009999999999999,https://leetcode.com/problems/di-string-match,"Array, Two Pointers, String, Greedy"
EASY,Middle of the Linked List,0,0.807,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Linked List Cycle II,0,0.551,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers"
EASY,Range Sum of BST,0,0.875,https://leetcode.com/problems/range-sum-of-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Add Two Numbers,0,0.4629999999999999,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Common Subsequence,0,0.583,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
MEDIUM,Balance a Binary Search Tree,0,0.847,https://leetcode.com/problems/balance-a-binary-search-tree,"Divide and Conquer, Greedy, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Sliding Window Maximum,0,0.477,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Shortest Cycle in a Graph,0,0.376,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph"
MEDIUM,Is Graph Bipartite?,0,0.578,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Count of Smaller Numbers After Self,0,0.429,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
MEDIUM,Binary Tree Level Order Traversal,0,0.7070000000000001,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Word Break,0,0.483,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Coin Change,0,0.466,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Range Sum Query - Immutable,0,0.687,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
HARD,Checking Existence of Edge Length Limited Paths,0,0.628,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths,"Array, Two Pointers, Union Find, Graph, Sorting"
